event_type_id,name,date,contact_email,phone,website,location,street,city,state,zip,number_of_participants,online_registration_link,ContactFirstName,ContactLastName,ContactTitle,CompanyName,BillingAddress,BillingCity,BillingState,BillingZip,notes,results_url,course_map_url
,Ful Ton 5K,2/23/2013,Tim@EliteTimingSolutions.com,2604021637 ,EliteTimingSolutions.com,Homestead High School 12,1234 Homestead Road,Fort Wayne,IN,46804,15,ItsYourRace.com,Tim,Fulton,,"Elite Timing Solutions, LLC",2025 Winding Creek Lane,Fort Wayne,IN,46804,Tim Fulton,,
,Dirty Bird 5K,9/10/2011,Jo@MyRace.com,2604094791 ,MyRace.com,IPFW,5674 Hartzel Rd.,New Haven,IN,46825,2000,Active.com fgw,Jordan,Bartholme,,"Happy Happy Joy Joy, Inc.",1234 Main Street,Fort Wayne,IN,46777,hia a f;dslkj asasdlkjf af,,
,Fox Island Sprnint Triathlon,1/11/2011,Derek@TriStateTriathlon.org,2604332578 ,RunSignMeUp.com,Fox Island State Park,1111 Eggaman Road,Fort Wayne,IN,46805,9999999,None,Derek,Wetli,,"Tri State Triathlon, Inc.",1847 W. Hamelton Road,Fort Wayne,IN,46464,afkj;fd,,
,Lake Country Half Marathon & 5K,8/31/2013,ben@midwestsportsevents.co,8004298044 ,,"Oconomowoc, WI",,,,,,,Ben,,,,"2079 Lawrence Drive Suite D
De Pere, WI 54115",,,,,,
,Fort2Base,8/25/2013,beth@fort2base.com,3125731737 ,http://fort2base.com/,"North Chicago, IL",,,,,,,Beth,Salinger,,,"Fort2Base Race, LLC
1479 N. Clybourn Ave. Unit E
C",,,,,http://fort2base.com/results-photos/,http://fort2base.com/runner-information/course-maps/
,Allstate Life Inshurance Chicago 13.1 Marathon,6/7/2009,run@131chicago.com, ,http://www.131marathon.com/Chicago/,"Chicago, IL",,,,,,,Bob,Fox,,,"5080 Spectrum Drive Suite 609 East Addison, TX 750",,,,,,
,Soldier Friel,5/18/2013,chicago@autismspeaks.org,2245678573 ,http://www.walknowforautismspeaks.org/faf/help/helpEventInfo.asp?ievent=1041426&lis=1&kntae1041426=727A8D038A784BC8BBF1A6994BCEE631,"Chicago , IL",,,,,,,dana,morris,,,,,,,,,
,Michigan Titanium,8/25/2013,doug@tris4health.com,6164373199 ,http://mititanium.com/,"Grand Rapids, MI",,,,,,,Doug,Tuttle,,,,,,,,,
,Waterfall 5K Trail Runs 5K/10K,6/22/2009,MitchVHarper@gmail.com,2604364824 ,,"Lagro, IN",,,,,,,DUPLICATE,,,,,,,,,,
,Burgers and Beer 5k,7/14/2009,,SEEABOVE ,,"Chicago, IL",,,,,,,DUPLICATE,,,,,,,,,,
